Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,popularity_class
44108,551qy5vUgrUfEUc4dCNfht,Nirvana,MTV Unplugged In New York,Where Did You Sleep Last Night,69,306066,False,0.573,0.59,3,-8.43,1,0.0557,0.667,0.000397,0.691,0.364,108.789,3,grunge,4
107238,2Di0qFNb7ATroCGB3q0Ka7,Pet Shop Boys,Please: Further Listening 1984 - 1986 (2018 Remaster),West End Girls - 2018 Remaster,69,285906,False,0.656,0.914,4,-7.471,0,0.0394,0.000943,0.0628,0.159,0.576,113.259,4,synth-pop,4
83074,3nEHrvNNtgLv9rneTAYVr4,Swedish House Mafia;Connie Constance,Paradise Again,Heaven Takes You Home (feat. Connie Constance),79,214071,False,0.665,0.738,0,-5.931,0,0.0379,0.0124,0.00598,0.0923,0.0389,125.037,4,progressive-house,4
70445,5tZbcQ5PYID0xB0VNblmrK,Stefanie Sun,My Story 2006 新歌+精選,雨天,51,241866,False,0.503,0.383,1,-9.151,1,0.0294,0.73,0.0,0.057,0.417,115.749,4,mandopop,2
19885,0DAMv2If2x4wHf7q7MZQna,Tomgang,Ei tid e forbi,Ei tid e forbi,43,226942,False,0.647,0.809,9,-6.97,1,0.0267,0.00781,4.18e-05,0.237,0.665,99.975,4,country,1
19880,4smdDxU927wqJsaNr8RkTc,Cody Johnson,Gotta Be Me,Chain Drinkin',42,189760,False,0.575,0.793,2,-4.954,1,0.0426,0.199,0.0,0.0818,0.817,166.099,4,country,1
5531,0bFNFX5VsRriuzu8Lju99i,Official HIGE DANdism,One-Man Tour 2021-2022 -Editorial-@Saitama Super Arena (LIVE),Anarchy - LIVE,23,279880,False,0.484,0.843,0,-7.975,1,0.0422,0.0104,0.0,0.475,0.277,136.075,4,anime,1
97727,3g3gsNJbATbiSoUg4gMoy8,Victor & Leo,Victor & Leo Ao Vivo Em Uberlândia,Arapuca - Ao Vivo,45,169986,False,0.45,0.922,4,-8.178,1,0.0583,0.557,0.0,0.688,0.605,117.294,4,sertanejo,2
70711,2CTAAr1Hd21pEvyjxUHHGC,Hebe Tien,愛了很久的朋友(電影「後來的我們」插曲),愛了很久的朋友(電影「後來的我們」插曲),49,268507,False,0.36,0.334,5,-8.512,1,0.0306,0.858,2.1e-06,0.0951,0.137,130.637,4,mandopop,2
81178,1O5mTSQa0sCce9ghhDqIZl,A.R. Rahman;Javed Ali,Jodhaa Akbar (Original Motion Picture Soundtrack),Jashn-E-Bahaaraa,70,315173,False,0.7,0.343,2,-10.474,1,0.0308,0.767,0.0,0.0789,0.488,137.864,4,pop,4
2525,6ZkeNE5zlcl13PbnzXdw38,Charlie Brown Jr.,Acústico (Ao Vivo),Tudo Pro Alto - Ao Vivo,48,184093,False,0.474,0.983,10,-5.498,0,0.0598,0.0182,0.000128,0.691,0.725,92.68,4,alt-rock,2
110175,2wxs5sF8JzScf1CV8u9tNU,Armin van Buuren;Bassjackers,Blah Blah Blah (Remixes),Blah Blah Blah - Bassjackers Remix,50,196363,False,0.635,0.962,5,-2.699,0,0.053,0.0458,0.00581,0.68,0.311,132.017,4,trance,2
93882,5nrBXMtKMtCVgt5w0Vb6wl,"Nikolai Erdenko;Ансамбль ""Джанг""",Лучшая цыганская музыка. Часть третья,Все карты,0,159680,False,0.479,0.329,9,-20.522,0,0.0599,0.257,0.0,0.3,0.885,100.694,4,romance,1
26619,5p9lzKJi4bGiBnYP0qrKSL,Cameron's Bedtime Classics,Dreamy Piano,Peace,20,214166,False,0.742,0.0355,5,-17.618,0,0.167,0.991,0.964,0.111,0.41,144.019,3,disney,1
22259,07zQA8UkyxpmnRhPjHOVOB,Behemoth,The Satanist,Blow Your Trumpets Gabriel,47,265440,True,0.175,0.945,6,-4.632,1,0.0832,0.000226,0.0056,0.285,0.169,118.282,4,death-metal,2
22537,0ULM5GqBeiYQTOdCUa9NvT,Disarmonia Mundi,Fragments Of D-Generation,Common State of Inner Violence,22,319026,False,0.433,0.972,7,-2.534,1,0.104,5.72e-05,0.908,0.568,0.0911,135.002,4,death-metal,1
35048,4VWlZb7Xiq1Im9Abzhe9fp,Humberto & Ronaldo,Saudade Véia (Ao Vivo),Saudade Véia - Ao Vivo,57,160682,False,0.633,0.877,1,-5.182,1,0.0526,0.335,0.0,0.128,0.913,162.032,4,forro,2
62161,7ajpbW6tBpqUI9foCtwlLw,YOASOBI,祝福,祝福,76,196235,False,0.553,0.958,4,-3.159,0,0.073,0.0186,3.08e-05,0.297,0.541,170.045,4,j-pop,4
51130,2mKvEIvd912eg3FZ8WamMS,Sidhu Moose Wala,Moosetape,Bitch I'm Back,66,230400,True,0.71,0.772,9,-4.496,0,0.103,0.203,0.0,0.853,0.789,149.829,4,hip-hop,3
33861,3jLk18JaCL9sFo9xSDup4A,XXXTENTACION,? (Deluxe),changes,44,121886,False,0.669,0.308,11,-10.068,1,0.029,0.883,0.0,0.0984,0.52,64.934,4,emo,2
71530,10ASBwZsp7oUUDsJEYz3uS,Breaking Benjamin,Phobia (Explicit Version),Dance With The Devil,68,227106,False,0.345,0.929,3,-4.469,0,0.142,0.00015,0.00106,0.129,0.181,155.041,3,metal,3
16529,1VNvsvEsUpuUCbHpVop1vo,Frédéric Chopin;Daniel Barenboim,Chopin: Nocturnes,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",67,273666,False,0.442,0.00919,3,-32.452,1,0.047,0.984,0.936,0.0873,0.0929,79.314,4,classical,3
33959,6t44iU80A0h8WQ7vc4OoRj,Paramore,After Laughter,Fake Happy,64,235706,False,0.734,0.626,7,-5.685,1,0.0458,0.076,6.54e-06,0.168,0.44,98.559,4,emo,3
43264,4PWxt9Fy949kUtkEi2GI5V,Gojira,L'Enfant Sauvage (Special Edition),L'enfant sauvage,58,257733,False,0.143,0.995,8,-5.698,1,0.185,0.000146,0.438,0.364,0.079,87.803,3,groove,3
53665,2Xf4RoFpi7n06ppsGKbxiq,Edward Maya;Vika Jigulina,Stereo Love,Stereo Love - Edit,65,184015,False,0.801,0.786,9,-3.781,1,0.0322,0.0439,0.0346,0.104,0.549,127.061,4,house,3
88320,40EiMT9vmuAz8vcOkj85D3,Sebastian Yatra;Myke Towers,Verano en Junio,Pareja Del Año,0,195333,False,0.715,0.61,4,-5.095,0,0.0522,0.175,0.0,0.0949,0.771,79.973,4,reggae,1
25052,78His8pbKjbDQF7aX5asgv,Boney M.,Nightflight to Venus,Rivers of Babylon,68,261266,False,0.729,0.851,7,-7.033,1,0.0362,0.13,0.000912,0.443,0.741,115.118,4,disco,3
59498,6coErM4CBGW8rsZkK6aDQv,Alireza Mashayekhi;Farimah Ghavamsadri;National Symphony Orchestra of Ukraine;Vladimir Sirenko,Persian Gardens (Piece for Piano and Orchestra),"Persian Gardens, Op. 111 : Episode V",0,289149,False,0.275,0.0744,2,-18.472,0,0.0366,0.944,0.895,0.0954,0.0365,126.95,4,iranian,1
69906,25LDEr4L9YU9zjORvPgi8O,Lordson Antony,En Maname Sthuthikka,En Maname Sthuthikka,19,373524,False,0.504,0.341,4,-10.772,0,0.0263,0.752,7.42e-05,0.115,0.295,84.994,4,malay,1
4579,7CBRVxkndOKeWUEfRclXNK,Peter Sandberg,Nainsook,Borrowed Peace,50,105974,False,0.233,0.0369,8,-24.326,1,0.0363,0.99,0.909,0.098,0.0582,70.862,4,ambient,2
71315,650OeHTLxZAQmb4aEbGmaA,Linkin Park;Pusha T;Stormzy,One More Light,Good Goodbye (feat. Pusha T and Stormzy),63,211413,False,0.697,0.84,9,-4.602,0,0.054,0.106,0.0,0.748,0.452,128.034,4,metal,3
20920,3P3pw6C19j31Rnzgo3JG7o,Jonas Blue;JP Cooper,Blue,Perfect Strangers,76,196613,False,0.73,0.861,1,-4.1,1,0.0451,0.39,0.0,0.213,0.704,117.965,4,dance,4
6731,0W7mY6om2ZetMnm9Ra651N,Nachtmystium,Assassins: Black Meddle Pt. I,Ghosts of Grace,17,289133,False,0.268,0.991,2,-5.481,0,0.0565,3.64e-06,0.00369,0.0684,0.191,162.23,4,black-metal,1
107111,5MoDQWMDMaAGDEiWsJfeCi,The Bangles,The Essential Bangles,Eternal Flame,68,238026,False,0.526,0.358,4,-7.239,0,0.0243,0.525,0.0,0.0942,0.399,78.989,3,synth-pop,3
