duration_ms,liveness,acousticness,danceability,energy,valence,tempo,speech_instr_ratio,danceability_energy,energy_loudness,acousticness_speechiness,loudness_valence,speechiness,duration_per_bpm,vocal_intensity,loudness,instrumentalness,key,mode,time_signature,explicit
191868,0.0886,0.0533,0.724,0.618,0.0683,100.021,0.07585119529552138,0.447432,-5.566326,0.00284622,-0.6151781,0.0534,1918.2769700086012,-0.4809738,-9.007,0.704,2,1,4,0
289546,0.116,0.000513,0.677,0.895,0.121,133.981,0.0952208365595295,0.6059150000000001,-5.589275,2.96514e-05,-0.755645,0.0578,2161.097307745329,-0.360961,-6.245,0.607,0,1,4,0
223866,0.0824,0.000279,0.345,0.866,0.367,123.127,6249.999999999999,0.29877,-5.09641,2.8737e-05,-2.159795,0.103,1818.1713338121344,-0.606155,-5.885,6.48e-06,7,1,4,0
88640,0.0667,0.974,0.173,0.117,0.0361,121.544,0.053562309236232356,0.020241,-2.927106,0.0439274,-0.9031498,0.0451,729.283162535118,-1.1283118,-25.018,0.842,0,0,5,0
150253,0.897,0.203,0.517,0.87,0.382,93.642,6679.999999999999,0.44979,-5.4897,0.0135604,-2.41042,0.0668,1604.5469335824807,-0.42150799999999994,-6.31,0.0,9,0,4,0
158000,0.706,0.764,0.519,0.535,0.474,135.462,93500.0,0.27766500000000005,-7.641940000000001,0.7143400000000001,-6.770616,0.935,1166.3786769441854,-13.355540000000001,-14.284,0.0,3,0,4,0
86020,0.0776,0.000312,0.773,0.729,0.732,117.963,0.06375521823901628,0.563517,-6.549335999999999,1.66296e-05,-6.576288,0.0533,729.211640157368,-0.47884720000000003,-8.984,0.836,1,1,4,0
141179,0.312,1.69e-05,0.313,0.892,0.269,109.071,0.12189204861480929,0.279196,-3.7945679999999995,1.7407e-06,-1.144326,0.103,1294.3769384733853,-0.43816199999999994,-4.254,0.845,8,1,4,0
293653,0.609,0.736,0.628,0.728,0.776,107.993,4590.0,0.457184,-5.00136,0.033782400000000004,-5.33112,0.0459,2719.1852509713362,-0.31533300000000003,-6.87,0.0,4,1,4,0
224106,0.0412,0.971,0.217,0.213,0.107,85.241,6.6721044045677,0.046221,-3.315771,0.039713899999999996,-1.665669,0.0409,2629.086633300098,-0.6366903,-15.567,0.00612,3,1,5,0
594826,0.143,0.977,0.113,0.0542,0.0385,64.899,0.05954699061569578,0.0061246,-1.3038893999999999,0.0463098,-0.9261944999999999,0.0474,9165.409456939327,-1.1403017999999998,-24.057,0.796,4,0,4,0
209600,0.0389,3.62e-05,0.571,0.987,0.402,150.03,0.0625737476311367,0.563577,-6.238827,1.9004999999999998e-06,-2.541042,0.0525,1397.0538294305252,-0.3318525,-6.321,0.839,9,1,4,1
183506,0.346,0.009,0.469,0.969,0.476,164.042,2791.469194312796,0.45446099999999995,-2.1502109999999997,0.0005300999999999999,-1.056244,0.0589,1118.6524720100663,-0.13069909999999998,-2.219,1.11e-05,0,1,4,0
229106,0.0775,0.0769,0.707,0.759,0.955,115.142,1197.9166666666667,0.536613,-9.356952,0.0035373999999999996,-11.77324,0.046,1989.7689817990845,-0.5670879999999999,-12.328,2.84e-05,11,0,4,0
272394,0.217,0.186,0.548,0.532,0.405,85.03,118.31501831501832,0.291536,-4.041072000000001,0.006007800000000001,-3.0763800000000003,0.0323,3203.504268669379,-0.2453508,-7.596,0.000263,5,1,4,0
