duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity_class,energy_loudness,energy_valence,loudness_valence,danceability_energy,acousticness_speechiness,instr_speech_ratio,duration_per_bpm,vocal_intensity,energy_danceability_ratio
191868,0.724,0.618,-9.007,0.0534,0.0533,0.704,0.0886,0.0683,100.021,4,-5.566326,0.0422094,-0.6151781,0.447432,0.00284622,13.181052237408723,1918.2771617960227,-0.4809738,0.8535793704506844
289546,0.677,0.895,-6.245,0.0578,0.000513,0.607,0.116,0.121,133.981,1,-5.589275,0.108295,-0.755645,0.6059150000000001,2.96514e-05,10.499913509773394,2161.0974690441185,-0.360961,1.321989335460333
223866,0.345,0.866,-5.885,0.103,0.000279,6.48e-06,0.0824,0.367,123.127,2,-5.09641,0.317822,-2.159795,0.29877,2.8737e-05,6.290651393068635e-05,1818.1714814784734,-0.606155,2.5100721718211068
88640,0.173,0.117,-25.018,0.0451,0.974,0.842,0.0667,0.0361,121.544,4,-2.927106,0.0042237,-0.9031498,0.020241,0.0439274,18.66548437153624,729.2832225366946,-1.1283118,0.6762614877752732
150253,0.517,0.87,-6.31,0.0668,0.203,0.0,0.897,0.382,93.642,3,-5.4897,0.33234,-2.41042,0.44979,0.0135604,0.0,1604.547104931548,-0.42150799999999994,1.6827527513974585
158000,0.519,0.535,-14.284,0.935,0.764,0.0,0.706,0.474,135.462,2,-7.641940000000001,0.25359,-6.770616,0.27766500000000005,0.7143400000000001,0.0,1166.3787630479396,-13.355540000000001,1.0308086549392113
86020,0.773,0.729,-8.984,0.0533,0.000312,0.836,0.0776,0.732,117.963,1,-6.549335999999999,0.533628,-6.576288,0.563517,1.66296e-05,15.68186081410617,729.2117019743479,-0.47884720000000003,0.9430667132378624
141179,0.313,0.892,-4.254,0.103,1.69e-05,0.845,0.312,0.269,109.071,1,-3.7945679999999995,0.23994800000000002,-1.144326,0.279196,1.7407e-06,8.203087078924376,1294.3770571462626,-0.43816199999999994,2.849749209290438
293653,0.628,0.728,-6.87,0.0459,0.736,0.0,0.609,0.776,107.993,3,-5.00136,0.564928,-5.33112,0.457184,0.033782400000000004,0.0,2719.185502764068,-0.31533300000000003,1.1592172099170397
224106,0.217,0.213,-15.567,0.0409,0.971,0.00612,0.0412,0.107,85.241,2,-3.315771,0.022791,-1.665669,0.046221,0.039713899999999996,0.14959667562943044,2629.0869417299186,-0.6366903,0.9815215888668725
594826,0.113,0.0542,-24.057,0.0474,0.977,0.796,0.143,0.0385,64.899,2,-1.3038893999999999,0.0020867,-0.9261944999999999,0.0061246,0.0463098,16.78970681290867,9165.410869196752,-1.1403017999999998,0.47960357490487565
209600,0.571,0.987,-6.321,0.0525,3.62e-05,0.839,0.0389,0.402,150.03,2,-6.238827,0.396774,-2.541042,0.563577,1.9004999999999998e-06,15.977908969720053,1397.0539225488235,-0.3318525,1.7285161380711374
183506,0.469,0.969,-2.219,0.0589,0.009,1.11e-05,0.346,0.476,164.042,4,-2.1502109999999997,0.461244,-1.056244,0.45446099999999995,0.0005300999999999999,0.00018842301816329995,1118.6525402031186,-0.13069909999999998,2.0660540286987485
