duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity_class
191868,0,0.724,0.618,2,-9.007,1,0.0534,0.0533,0.704,0.0886,0.0683,100.021,4,4
289546,0,0.677,0.895,0,-6.245,1,0.0578,0.000513,0.607,0.116,0.121,133.981,4,1
223866,0,0.345,0.866,7,-5.885,1,0.103,0.000279,6.48e-06,0.0824,0.367,123.127,4,2
88640,0,0.173,0.117,0,-25.018,0,0.0451,0.974,0.842,0.0667,0.0361,121.544,5,4
150253,0,0.517,0.87,9,-6.31,0,0.0668,0.203,0.0,0.897,0.382,93.642,4,3
158000,0,0.519,0.535,3,-14.284,0,0.935,0.764,0.0,0.706,0.474,135.462,4,2
86020,0,0.773,0.729,1,-8.984,1,0.0533,0.000312,0.836,0.0776,0.732,117.963,4,1
141179,0,0.313,0.892,8,-4.254,1,0.103,1.69e-05,0.845,0.312,0.269,109.071,4,1
293653,0,0.628,0.728,4,-6.87,1,0.0459,0.736,0.0,0.609,0.776,107.993,4,3
224106,0,0.217,0.213,3,-15.567,1,0.0409,0.971,0.00612,0.0412,0.107,85.241,5,2
594826,0,0.113,0.0542,4,-24.057,0,0.0474,0.977,0.796,0.143,0.0385,64.899,4,2
209600,1,0.571,0.987,9,-6.321,1,0.0525,3.62e-05,0.839,0.0389,0.402,150.03,4,2
183506,0,0.469,0.969,0,-2.219,1,0.0589,0.009,1.11e-05,0.346,0.476,164.042,4,4
229106,0,0.707,0.759,11,-12.328,0,0.046,0.0769,2.84e-05,0.0775,0.955,115.142,4,4
272394,0,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4,4
226066,0,0.591,0.942,7,-4.975,1,0.0576,0.00429,0.0558,0.18,0.456,95.084,4,4
129610,0,0.585,0.274,5,-9.831,1,0.0717,0.791,0.0,0.109,0.471,81.37,5,1
343000,0,0.304,0.124,1,-17.6,0,0.0397,0.948,0.00104,0.143,0.0828,168.996,4,2
115263,0,0.572,0.631,9,-6.152,0,0.0701,0.638,0.0,0.451,0.546,95.09,4,4
182901,0,0.437,0.266,8,-14.183,1,0.0413,0.835,4.16e-06,0.411,0.381,117.738,4,1
166466,0,0.701,0.822,2,-6.472,0,0.0554,0.633,3.44e-05,0.0348,0.887,113.104,4,3
299573,0,0.602,0.559,10,-6.203,0,0.0426,0.615,0.0,0.131,0.44,122.017,4,4
99583,0,0.346,0.495,8,-8.276,1,0.0718,0.273,0.0,0.165,0.33,203.983,4,4
273093,0,0.422,0.971,4,-3.262,1,0.0625,0.154,0.0172,0.383,0.182,90.083,4,1
74240,0,0.296,0.995,4,-2.521,0,0.121,2.46e-05,0.929,0.386,0.0707,97.319,4,1
276680,0,0.315,0.391,7,-8.259,1,0.0329,0.307,0.0,0.623,0.502,70.867,5,3
193160,0,0.354,0.131,3,-21.506,1,0.0337,0.951,0.631,0.178,0.346,83.17,4,2
215776,1,0.547,0.558,9,-6.745,0,0.309,0.112,0.0,0.112,0.422,93.872,4,4
212533,0,0.257,0.998,4,-2.859,0,0.14,3.19e-05,0.00722,0.0624,0.0597,152.167,4,2
137066,0,0.694,0.251,0,-9.094,1,0.0563,0.688,0.000104,0.0718,0.782,119.133,4,1
185306,0,0.278,0.495,9,-9.6,0,0.0384,0.921,0.141,0.749,0.838,86.124,3,1
134946,0,0.824,0.393,0,-6.941,1,0.0704,0.616,0.0,0.211,0.474,92.952,4,3
142306,0,0.65,0.246,6,-16.171,1,0.0263,0.846,5.07e-06,0.186,0.539,91.04,4,4
180000,0,0.774,0.652,5,-6.413,0,0.0336,0.518,7.87e-05,0.0839,0.862,145.01,4,3
172120,0,0.367,0.28,9,-11.71,1,0.0344,0.776,6.15e-06,0.109,0.402,90.049,4,3
242553,0,0.581,0.14,8,-19.822,1,0.0568,0.991,0.909,0.131,0.21,122.791,4,3
153456,0,0.173,0.447,11,-19.182,1,0.0523,0.898,0.204,0.256,0.000885,113.693,3,3
180266,0,0.826,0.49,9,-10.477,1,0.0676,0.00916,4.41e-06,0.0415,0.627,74.126,4,4
308714,0,0.581,0.71,7,-4.961,0,0.0374,0.395,0.0,0.137,0.755,111.969,4,4
286466,0,0.493,0.175,10,-18.049,0,0.036,0.949,0.777,0.112,0.278,106.903,4,4
153280,0,0.36,0.815,2,-12.779,1,0.146,0.46,0.0,0.365,0.439,122.176,4,1
262684,0,0.369,0.308,4,-10.575,1,0.0315,0.819,0.0,0.104,0.079,70.027,3,2
220333,0,0.423,0.51,1,-9.892,0,0.0393,0.594,0.0,0.125,0.607,124.018,4,2
185242,0,0.711,0.529,2,-6.867,1,0.0396,0.524,0.0,0.124,0.322,139.834,4,4
97620,0,0.738,0.499,1,-14.344,1,0.546,0.21,0.0,0.569,0.806,88.916,4,1
233097,0,0.674,0.878,9,-4.179,0,0.0308,0.00468,0.0676,0.056,0.964,121.096,4,2
185333,0,0.541,0.676,8,-3.893,0,0.153,0.442,0.0,0.159,0.845,90.037,4,4
347866,0,0.359,0.83,5,-5.723,1,0.0725,0.000217,3.83e-05,0.0601,0.205,76.727,4,4
171989,0,0.805,0.746,1,-5.211,0,0.185,0.238,0.0,0.215,0.717,127.922,4,3
256386,0,0.535,0.828,9,-3.48,1,0.0487,0.143,0.0,0.177,0.407,131.866,4,2
78874,0,0.367,0.107,9,-20.273,0,0.0471,0.862,0.926,0.107,0.146,129.368,3,4
201806,0,0.641,0.614,9,-8.296,1,0.0846,0.176,4.73e-05,0.123,0.551,157.969,4,3
134706,0,0.348,0.0143,6,-33.971,1,0.0406,0.993,0.93,0.102,0.304,70.771,4,4
